Date,Province,Commodity,Price
2020-02-01,PAPUA,"Chili (bird's eye, red)",63466.40166666667
2020-02-01,PAPUA,Chili (red),77488.39333333333
2020-02-01,PAPUA,"Chili (red, curly)",68703.35833333334
2020-02-01,PAPUA,"Chili (red, large)",86273.43166666666
2020-02-01,PAPUA BARAT,Chili (bird's eye),43867.707500000004
2020-02-01,PAPUA BARAT,"Chili (bird's eye, green)",28782.05
2020-02-01,PAPUA BARAT,"Chili (bird's eye, red)",55804.045
2020-02-01,PAPUA BARAT,Chili (red),48817.416666666664
2020-02-01,PAPUA BARAT,"Chili (red, curly)",37170.64333333333
2020-02-01,PAPUA BARAT,"Chili (red, large)",51925.28666666666
2020-02-01,RIAU,Chili (bird's eye),42525.865
2020-02-01,RIAU,"Chili (bird's eye, green)",36862.06857142857
2020-02-01,RIAU,"Chili (bird's eye, red)",67859.9125
2020-02-01,RIAU,Chili (red),44267.23875
2020-02-01,RIAU,"Chili (red, curly)",46390.08625
2020-02-01,RIAU,"Chili (red, large)",40494.253333333334
2020-02-01,SULAWESI BARAT,Chili (bird's eye),38545.2575
2020-02-01,SULAWESI BARAT,"Chili (bird's eye, green)",30668.1025
2020-02-01,SULAWESI BARAT,"Chili (bird's eye, red)",46422.415
2020-02-01,SULAWESI BARAT,Chili (red),39549.57
2020-02-01,SULAWESI BARAT,"Chili (red, curly)",38314.6525
2020-02-01,SULAWESI BARAT,"Chili (red, large)",40784.485
2020-02-01,SULAWESI SELATAN,Chili (bird's eye),42350.4
2020-02-01,SULAWESI SELATAN,"Chili (bird's eye, red)",42350.4
2020-02-01,SULAWESI SELATAN,Chili (red),36974.444444444445
2020-02-01,SULAWESI SELATAN,"Chili (red, curly)",35970.0
2020-02-01,SULAWESI SELATAN,"Chili (red, large)",37637.77777777778
2020-02-01,SULAWESI TENGAH,Chili (bird's eye),48517.240000000005
2020-02-01,SULAWESI TENGAH,"Chili (bird's eye, green)",42793.104999999996
2020-02-01,SULAWESI TENGAH,"Chili (bird's eye, red)",54241.380000000005
